name,city,population,wiki,birth_date
Aczél Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.03.13
Ádám Martin,Szeged,158829 ,https://hu.wikipedia.org/wiki/Szeged,1994.11.06
Ádám Sándor,?,Page not found,,1918.02.10
Aknai Jenő,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1908.04.19
Albert Flórián,Hercegszántó,1645 ,https://hu.wikipedia.org/wiki/Hercegszántó,1941.09.15
Albert Flórián ifj.,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.12.12
Amsel Ignác,Kispest,,https://hu.wikipedia.org/wiki/Kispest,1899.01.17
Andrusch József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1956.03.31
Arany László,Tatabánya,65874 ,https://hu.wikipedia.org/wiki/Tatabánya,1971.03.09
Aranyos Imre,Kisvárda,14990 ,https://hu.wikipedia.org/wiki/Kisvárda,1966.06.13
Aspirány Gusztáv,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1925.09.17
Avar István,Arad,City data not found,https://hu.wikipedia.org/wiki/Arad,1905.05.30
Babolcsay György,Sashalom,15288 ,https://hu.wikipedia.org/wiki/Sashalom,1921.12.26
Babos Gábor,Sopron,61784 ,https://hu.wikipedia.org/wiki/Sopron,1974.10.24
Bácsi Sándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1969.11.26
Bádonyi Gyula,Szerencs,,https://hu.wikipedia.org/wiki/Szerencs,1882.09.17
Bakó Béla,Szeged,158829 ,https://hu.wikipedia.org/wiki/Szeged,1928.11.19
Bakos Sándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1939.08.02
Bálint László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1948.02.01
Balog Tibor,Kakucs,3150 ,https://hu.wikipedia.org/wiki/Kakucs,1966.03.01
Balog Tibor,Kiskunmajsa,11675 ,https://hu.wikipedia.org/wiki/Kiskunmajsa,1963.08.31
Balog Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.11.06
Balog Zoltán,Békés,17726 ,https://hu.wikipedia.org/wiki/Békés,1978.02.22
Balogh Balázs,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1990.06.11
Balogh Béla,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1984.12.30
Balogh Botond,Sopron,61784 ,https://hu.wikipedia.org/wiki/Sopron,2002.06.06
Balogh István,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1912.09.21
Balogh János,Debrecen,201582 ,https://hu.wikipedia.org/wiki/Debrecen,1982.11.29
Balogh Miklós,Porcsalma,2576 ,https://hu.wikipedia.org/wiki/Porcsalma,1914.01.01
Balogh Norbert,Hajdúböszörmény,29574 ,https://hu.wikipedia.org/wiki/Hajdúböszörmény,1996.02.21
Balogh Sándor,Gyón,,https://hu.wikipedia.org/wiki/Gyón,1920.03.18
Balogh Tamás,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.09.06
Bánfi János,Újkígyós,4683 ,https://hu.wikipedia.org/wiki/Újkígyós,1969.11.09
Bánkuti István,Budafok,26782 ,https://hu.wikipedia.org/wiki/Budafok,1946.11.12
Bányai Nándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1928.03.08
Baranyi Miklós,Oroszlány,18064 ,https://hu.wikipedia.org/wiki/Oroszlány,1969.09.06
Baranyi Sándor,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1953.08.14
Bárányos Zsolt,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1975.12.15
Baráth Botond,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1992.04.21
Baráth Péter,Kisvárda,14990 ,https://hu.wikipedia.org/wiki/Kisvárda,2002.02.21
Barátky Gyula,Nagyvárad,183105 ,https://hu.wikipedia.org/wiki/Nagyvárad,1910.10.18
Bárd István,Fiume,107964 ,https://hu.wikipedia.org/wiki/Fiume,1882.08.19
Baróti Lajos,Barót,4753 ,https://hu.wikipedia.org/wiki/Barót,1914.08.19
Bartos Béla,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1902.04.04
Baubach Béla,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1895.04.03
Bayer Jenő,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.11.17
Becsei József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1950.10.10
Béky Bertalan,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1913.08.29
Bencsics József,Szombathely,78446 ,https://hu.wikipedia.org/wiki/Szombathely,1933.07.19
Bene Ferenc,Balatonújlak,445 ,https://hu.wikipedia.org/wiki/Balatonújlak,1944.12.17
Beneda István,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1904.02.04
Berán József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1883.11.05
Bérczy Balázs,Pécs,,https://hu.wikipedia.org/wiki/Pécs,1966.01.15
Berecz István,?,Page not found,,1913.12.10
Berecz Zsombor,Miskolc,145248 ,https://hu.wikipedia.org/wiki/Miskolc,1995.12.13
Berendi Pál,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1932.11.30
Berkessy Elemér,Nagyvárad,183105 ,https://hu.wikipedia.org/wiki/Nagyvárad,1905.06.20
Bese Barnabás,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1994.05.06
Bicskei Bertalan,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1944.09.17
Bienenstock Sándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.06.17
Bihámi Béla,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1909.10.23
Bihari Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1889.11.30
Biri János,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1901.07.21
Bíró Gyula,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1890.04.25
Bíró Sándor,Füzesabony,7170 ,https://hu.wikipedia.org/wiki/Füzesabony,1911.08.19
Blazsek Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.09.20
Blum Zoltán,Pápa,City data not found,https://hu.wikipedia.org/wiki/Pápa,1892.01.03
Bobrik Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1900.06.13
Boda Imre,Szolnok,67126 ,https://hu.wikipedia.org/wiki/Szolnok,1961.10.10
Böde Dániel,Szekszárd,30057 ,https://hu.wikipedia.org/wiki/Szekszárd,1986.10.24
Bódi Ádám,Nyíregyháza,115711 ,https://hu.wikipedia.org/wiki/Nyíregyháza,1990.10.18
Bodnár László,Bánszállás,,https://hu.wikipedia.org/wiki/Bánszállás,1959.03.05
