city,population,wiki
Kispest,,http://hu.wikipedia.org/wiki/Kispest
Arad,145078 ,http://hu.wikipedia.org/wiki/Arad_(Rom%C3%A1nia)
Szerencs,8445 ,http://hu.wikipedia.org/wiki/Szerencs
Gyón,,http://hu.wikipedia.org/wiki/Gy%C3%B3n
Pécs,141031 ,http://hu.wikipedia.org/wiki/P%C3%A9cs
Pápa,28789 ,http://hu.wikipedia.org/wiki/P%C3%A1pa_(telep%C3%BCl%C3%A9s)
Bánszállás,30865 ,http://hu.wikipedia.org/wiki/%C3%93zd#Bánszállás
Újpest,116057 ,http://hu.wikipedia.org/wiki/%C3%9Ajpest_(t%C3%B6rt%C3%A9nelmi_telep%C3%BCl%C3%A9s)
Újdombóvár,Population data not found,http://hu.wikipedia.org/wiki/%C3%9Ajdomb%C3%B3v%C3%A1r
Pilis,11827 ,http://hu.wikipedia.org/wiki/Pilis_(telep%C3%BCl%C3%A9s)
Gara,2110 ,http://hu.wikipedia.org/wiki/Gara_(Magyarorsz%C3%A1g)
Nyírlak,428 ,http://hu.wikipedia.org/wiki/Zalagy%C3%B6m%C3%B6r%C5%91
Kámon,1671004 ,http://hu.wikipedia.org/wiki/Budapest
Nova,742 ,http://hu.wikipedia.org/wiki/Nova_(telep%C3%BCl%C3%A9s)
Esztergom,28680 ,http://hu.wikipedia.org/wiki/Esztergom
Bécs,1973403 ,http://hu.wikipedia.org/wiki/B%C3%A9cs
Szarvas,26215 ,http://hu.wikipedia.org/wiki/Kiskunhalas
?,1671004 ,http://hu.wikipedia.org/wiki/Budapest
Gyula,28090 ,http://hu.wikipedia.org/wiki/Gyula_(Magyarorsz%C3%A1g)
Tarján,2756 ,http://hu.wikipedia.org/wiki/Tarj%C3%A1n_(telep%C3%BCl%C3%A9s)
Sátoraljaújhely,13122 ,http://hu.wikipedia.org/wiki/S%C3%A1toralja%C3%BAjhely
,9603634 ,http://hu.wikipedia.org/wiki/Magyarorsz%C3%A1g
Mocsolád,Population data not found,http://hu.wikipedia.org/wiki/Mocsol%C3%A1d
Nagybátony,,http://hu.wikipedia.org/wiki/Nagyb%C3%A1tony
Felsőgalla,,http://hu.wikipedia.org/wiki/Fels%C5%91galla
Csepel,,http://hu.wikipedia.org/wiki/Csepel_(t%C3%B6rt%C3%A9nelmi_telep%C3%BCl%C3%A9s)
Kisfalud,664 ,http://hu.wikipedia.org/wiki/Kisfalud_(Gy%C5%91r-Moson-Sopron_v%C3%A1rmegye)
Kiskálna,,http://hu.wikipedia.org/wiki/Kisk%C3%A1lna
Pestszentlőrinc,1671004 ,http://hu.wikipedia.org/wiki/Budapest
Palánka,29449 ,http://hu.wikipedia.org/wiki/Pal%C3%A1nka_(Szerbia)
Komló,21854 ,http://hu.wikipedia.org/wiki/Koml%C3%B3_(telep%C3%BCl%C3%A9s)
Tápé,,http://hu.wikipedia.org/wiki/T%C3%A1p%C3%A9
Elek,4246 ,http://hu.wikipedia.org/wiki/Elek_(telep%C3%BCl%C3%A9s)
Muzsla,1912 ,http://hu.wikipedia.org/wiki/Muzsla_(telep%C3%BCl%C3%A9s)
Pestszenterzsébet,,http://hu.wikipedia.org/wiki/Pestszenterzs%C3%A9bet
Vulkán,18527 ,http://hu.wikipedia.org/wiki/Vulk%C3%A1n_(Hunyad_megye)
Erzsébetfalva,5990 ,http://hu.wikipedia.org/wiki/Solt_(telep%C3%BCl%C3%A9s)
Komárom,32287 ,http://hu.wikipedia.org/wiki/Kom%C3%A1rom_(Szlov%C3%A1kia)
Torrington,Population data not found,http://hu.wikipedia.org/wiki/Torrington
Mór,13547 ,http://hu.wikipedia.org/wiki/M%C3%B3r_(telep%C3%BCl%C3%A9s)
Wilhelmsburg,6557 ,http://hu.wikipedia.org/wiki/Wilhelmsburg_(Ausztria)
Soroksár,22300 ,http://hu.wikipedia.org/wiki/Budapest_XXIII._ker%C3%BClete
Szőny,,http://hu.wikipedia.org/wiki/Sz%C5%91ny
