name,birth_date,player_wiki_link,city,population,city_wiki,parent_city,is_manual
Aczél Zoltán,1967.03.13,http://hu.wikipedia.org/wiki/Acz%C3%A9l_Zolt%C3%A1n,Budapest,1671004.0,https://hu.wikipedia.org/wiki/Budapest,,
Ádám Martin,1994.11.06,https://hu.wikipedia.org/wiki/Ádám_Martin,Szeged,158829.0,https://hu.wikipedia.org/wiki/Szeged,,
Ádám Sándor,1918.02.10,http://hu.wikipedia.org/wiki/%C3%81d%C3%A1m_S%C3%A1ndor_(labdar%C3%BAg%C3%B3),?,1671004.0,http://hu.wikipedia.org/wiki/Budapest,,
Aknai Jenő,1908.04.19,http://hu.wikipedia.org/wiki/Aknai_J%C3%A1nos,Budapest,1671004.0,https://hu.wikipedia.org/wiki/Budapest,,
Albert Flórián,1941.09.15,"https://hu.wikipedia.org/wiki/Albert_Flórián_(labdarúgó,_1941)",Hercegszántó,1645.0,https://hu.wikipedia.org/wiki/Hercegszántó,,
Albert Flórián ifj.,1967.12.12,"http://hu.wikipedia.org/wiki/Albert_Fl%C3%B3ri%C3%A1n_(labdar%C3%BAg%C3%B3,_1967)",Budapest,1671004.0,https://hu.wikipedia.org/wiki/Budapest,,
Amsel Ignác,1899.01.17,http://hu.wikipedia.org/wiki/Amsel_Ign%C3%A1c,Kispest,50000.0,http://hu.wikipedia.org/wiki/Kispest,BP,m
Andrusch József,1956.03.31,http://hu.wikipedia.org/wiki/Andrusch_J%C3%B3zsef,Budapest,1671004.0,https://hu.wikipedia.org/wiki/Budapest,,
Arany László,1971.03.09,http://hu.wikipedia.org/wiki/Arany_L%C3%A1szl%C3%B3_(labdar%C3%BAg%C3%B3),Tatabánya,65874.0,https://hu.wikipedia.org/wiki/Tatabánya,,
Aranyos Imre,1966.06.13,http://hu.wikipedia.org/wiki/Aranyos_Imre,Kisvárda,14990.0,https://hu.wikipedia.org/wiki/Kisvárda,,
Aspirány Gusztáv,1925.09.17,http://hu.wikipedia.org/wiki/Aspir%C3%A1ny_Guszt%C3%A1v,Budapest,1671004.0,https://hu.wikipedia.org/wiki/Budapest,,
Avar István,1905.05.30,http://hu.wikipedia.org/wiki/Avar_Istv%C3%A1n_(labdar%C3%BAg%C3%B3),Arad,145078.0,http://hu.wikipedia.org/wiki/Arad_(Rom%C3%A1nia),,
Babolcsay György,1921.12.26,http://hu.wikipedia.org/wiki/Babolcsay_Gy%C3%B6rgy,Sashalom,15288.0,https://hu.wikipedia.org/wiki/Sashalom,,
